%Type ZVL-6 
%Version 3.20 
%Date 14.Aug 24 
%Mode ANALYZER 
%Center Freq 102500000.000000 Hz
%Freq Offset 0.000000 Hz
%Span 195000000.000000 Hz
%x-Axis LIN 
%Start 5000000.000000 Hz
%Stop 200000000.000000 Hz
%Ref Level 0.000000 dBm
%Level Offset 0.000000 dB
%Ref Position 100.000000 %
%y-Axis LOG 
%Level Range 100.000000 dB
%Rf Att 30.000000 dB
%RBW 100000.000000 Hz
%VBW 300000.000000 Hz
%SWT 0.050000 s
%Trace Mode AVERAGE 
%Detector SAMPLE 
%Sweep Count 0 
%Trace 1:  
%x-Unit Hz 
%y-Unit dBm 
%Preamplifier ON 
%Transducer OFF 
%Values 5001 
25748000 -71.527458190917969 
25787000 -70.365707397460938 
25826000 -70.734146118164062 
25865000 -70.85400390625 
25904000 -70.572776794433594 
25943000 -70.847442626953125 
25982000 -72.0294189453125 
26021000 -71.218528747558594 
26060000 -71.566383361816406 
26099000 -71.238899230957031 
26138000 -71.8719482421875 
26177000 -72.341690063476563 
26216000 -71.494132995605469 
26255000 -71.977714538574219 
26294000 -71.589012145996094 
26333000 -71.257980346679687 
26372000 -71.978172302246094 
26411000 -72.550796508789063 
26450000 -71.845695495605469 
26489000 -72.346725463867188 
26528000 -72.763526916503906 
26567000 -72.054428100585937 
26606000 -72.565032958984375 
26645000 -72.626815795898437 
26684000 -73.256721496582031 
26723000 -72.801376342773438 
26762000 -72.691596984863281 
26801000 -72.306541442871094 
26840000 -72.510826110839844 
26879000 -72.396926879882813 
26918000 -73.507461547851563 
26957000 -73.002708435058594 
26996000 -72.441604614257813 
27035000 -72.880439758300781 
27074000 -73.224990844726563 
27113000 -73.204490661621094 
27152000 -73.48553466796875 
27191000 -73.430526733398438 
27230000 -73.766944885253906 
27269000 -73.315353393554687 
27308000 -73.561149597167969 
27347000 -74.005348205566406 
27386000 -73.671913146972656 
27425000 -74.405960083007812 
27464000 -73.997917175292969 
27503000 -73.290557861328125 
27542000 -73.177139282226563 
27581000 -75.006645202636719 
27620000 -74.144630432128906 
27659000 -73.398719787597656 
27698000 -74.505966186523438 
27737000 -74.090713500976563 
27776000 -75.208351135253906 
27815000 -74.219902038574219 
27854000 -75.10443115234375 
27893000 -74.733383178710938 
27932000 -73.830657958984375 
27971000 -75.298843383789063 
28010000 -75.065032958984375 
28049000 -75.116287231445313 
28088000 -74.9580078125 
28127000 -75.271476745605469 
28166000 -75.13336181640625 
28205000 -74.948898315429687 
28244000 -75.300704956054687 
28283000 -76.420089721679688 
28322000 -75.186866760253906 
28361000 -75.770248413085938 
28400000 -75.838905334472656 
28439000 -75.730583190917969 
28478000 -76.825996398925781 
28517000 -76.144241333007812 
28556000 -75.737983703613281 
28595000 -75.575607299804688 
28634000 -76.568626403808594 
28673000 -76.954330444335938 
28712000 -76.605995178222656 
28751000 -75.905029296875 
28790000 -75.667137145996094 
28829000 -76.988204956054688 
28868000 -77.149986267089844 
28907000 -76.624519348144531 
28946000 -76.9066162109375 
28985000 -76.924064636230469 
29024000 -77.656585693359375 
29063000 -76.868583679199219 
29102000 -76.940925598144531 
29141000 -76.349502563476563 
29180000 -76.393791198730469 
29219000 -77.391021728515625 
29258000 -76.339012145996094 
29297000 -77.289932250976563 
29336000 -77.02099609375 
